Artista,Ascolti,AscoltiFilter,TracceUniche,TracceUnicheFilter
Banco Del Mutuo Soccorso,56,40,34,28
Damien Rice,56,9,7,5
Mark Knopfler,56,40,26,24
Tigran Hamasyan,56,45,21,21
Purple Disco Machine,56,23,2,2
Jawsh 685,56,19,2,1
111nightshift,56,51,17,17
Tram des Balkans,56,45,28,28
Mahavishnu Orchestra,55,45,25,24
Maybeshewill,55,51,10,10
Elliot Goldenthal,55,40,6,4
Enemies,55,52,34,33
I See Stars,55,35,20,17
Mannarino,55,36,21,20
Ondatrópica,55,47,9,9
Focus,55,47,20,19
BLUEM,55,47,13,13
Chavela Vargas,54,41,26,25
The Cure,54,43,18,13
Paul Simon,54,49,15,14
Max Bruch,54,49,27,24
Khalid,54,14,16,7
Fazıl Say,54,35,30,18
Alicia Keys,54,18,2,2
Casadilego,54,2,5,1
Clark,54,50,18,17
Malik Djoudi,54,50,16,15
El Búho,54,50,20,20
Horsey,54,53,7,7
GRAViiTY,54,43,6,6
Lynyrd Skynyrd,53,40,20,18
The Omnific,53,46,22,21
Tauro Boys,53,43,27,25
Juanes,53,46,15,14
Lagartijeando,53,40,4,4
Vessel,53,44,8,6
Voidvísir,53,45,1,1
Froukje,53,44,14,14
El Equipo Del Norte,53,43,18,18
The Album Leaf,52,50,23,22
The Six Parts Seven,52,48,20,19
Marillion,52,44,23,21
Eric Prydz,52,36,13,7
Boban i Marko Markovic Orkestar,52,40,10,8
The xx,52,46,12,12
HARU NEMURI,52,36,13,13
Ed Carlsen,52,42,29,29
Musica per Dormire Profondamente,52,52,52,52
Calvin Harris,52,5,2,1
Capital Cities,52,20,2,2
Stay Homas,52,23,1,1
Havana D’Primera,52,33,12,10
Duo bucolico,52,38,23,22
Salamanda,52,41,9,8
REYSHA RAMI,52,42,7,7
Johnny Cash,51,34,25,21
Pat Metheny Group,51,33,14,14
Nicky Jam,51,6,2,2
Dr. Dre,51,35,20,14
Elis Regina,51,29,13,11
Manu Chao,51,27,17,10
S Pozzoli,51,11,2,2
Joseph Arthur,51,7,2,2
Young the Giant,51,20,1,1
Daisy Clark,51,43,3,2
Marina Herlop,51,47,10,10
Dark0,51,40,10,9
César Franck,50,49,26,26
Black Sabbath,50,43,18,18
Ray Charles,50,37,15,12
The Smiths,50,43,12,11
Panic! At The Disco,50,21,4,4
Tutti Fenomeni,50,41,23,20
HVDES,50,37,10,8
P.R2B,50,48,10,9
Lucio Dalla,49,43,21,21
Harold Budd,49,45,20,19
Herbie Hancock,49,28,29,21
SHAED,49,10,1,1
Grant Lee Buffalo,49,8,2,2
Rihanna,48,6,6,3
Boston,48,41,11,11
Angelo Branduardi,48,31,22,20
Amy Winehouse,48,43,37,34
J.J. Cale,48,36,14,13
Smash Mouth,48,25,3,1
Fort Atlantic,48,15,2,2
Carl Maria von Weber,48,38,29,24
Christoph Willibald Gluck,48,26,26,14
All Time Low,48,29,12,6
Traditional,48,40,29,23
Jeremy Zucker,48,10,2,1
Salma Hayek,48,38,1,1
Amos Lee,48,6,2,2
Jess Glynne,47,13,2,1
Gigi Proietti,47,7,2,1
Ben Harper,47,7,4,3
Joep Beving,47,42,11,11
Benny Goodman,47,39,36,34
Ichiko Aoba,47,35,15,15
Conan Gray,47,3,2,2
Tom Gregory,47,19,2,2
Proper Youth,47,13,1,1
Olivia Dean,47,16,1,1
CHLOE (Thévenin),47,43,16,16
Zaho de Sagazan,47,38,13,13
Grace Ives,47,45,10,10
Arcade Fire,46,41,17,14
Allman Brothers Band,46,27,16,14
Django Reinhardt,46,32,19,18
SAINt JHN,46,26,26,17
Jacob Collier,46,18,34,16
Herbert von Karajan,46,41,18,17
Rino Gaetano,46,37,17,17
Hilight Tribe,46,36,6,6
Bring Me The Horizon,46,34,22,19
Canned Heat,46,32,27,23
George Michael,46,7,2,2
Massimo Bubola,46,39,23,21
OMI,46,14,1,1
Mathieu Fiset,46,38,9,9
Indigo Jam Unit,46,37,1,1
Waxx,46,43,3,3
JEMMA,46,38,8,8
